               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10657,            0.031172,                   0,             0.28233,             0.35524,             0.19696,            0.042697,            0.069457,            0.027506,                   0,            0.070207,           0.0033103,           0.0033103
                   1,            0.067714,            0.024076,                   0,             0.51255,             0.63366,             0.52387,             0.19267,            0.056613,            0.018082,                   0,            0.039878,           0.0063148,           0.0063148
                   2,            0.061406,            0.020058,                   0,             0.53757,             0.64843,             0.59142,             0.23175,            0.052569,            0.015739,                   0,           0.0092192,           0.0089893,           0.0089893
                   3,            0.053949,            0.018375,                   0,             0.85245,             0.80905,              0.8688,             0.41629,            0.039875,            0.013836,                   0,            0.008515,            0.008515,            0.008515
                   4,            0.048173,            0.016505,                   0,             0.85954,             0.86587,              0.9114,             0.46341,            0.039716,            0.012684,                   0,            0.008515,            0.008515,            0.008515
                   5,            0.043351,            0.016118,                   0,             0.92653,              0.9022,             0.96132,             0.51013,            0.033498,             0.01176,                   0,             0.00802,             0.00802,             0.00802
                   6,            0.040257,            0.014825,                   0,             0.91281,             0.92673,             0.96975,              0.5331,            0.033961,            0.011154,                   0,            0.007525,            0.007525,            0.007525
                   7,            0.038739,            0.014906,                   0,             0.93864,             0.92833,             0.97549,             0.59999,            0.028683,            0.010776,                   0,             0.00703,             0.00703,             0.00703
                   8,             0.03555,             0.01365,                   0,             0.94358,             0.93622,             0.97623,              0.5847,            0.029605,            0.010639,                   0,            0.006535,            0.006535,            0.006535
                   9,            0.033965,            0.013242,                   0,             0.94762,             0.95114,             0.98267,             0.60807,            0.029608,             0.01016,                   0,             0.00604,             0.00604,             0.00604
                  10,            0.032584,            0.013425,                   0,             0.93532,             0.95052,             0.97665,             0.55536,            0.032252,            0.010134,                   0,            0.005545,            0.005545,            0.005545
                  11,            0.031427,            0.013438,                   0,             0.95793,             0.95516,             0.98344,              0.6108,            0.028132,           0.0097733,                   0,             0.00505,             0.00505,             0.00505
                  12,             0.03029,            0.012747,                   0,             0.95502,             0.96029,              0.9867,             0.62419,            0.025981,           0.0096016,                   0,            0.004555,            0.004555,            0.004555
                  13,             0.02895,            0.012762,                   0,             0.95479,             0.96332,             0.98715,             0.66795,            0.023628,            0.009279,                   0,             0.00406,             0.00406,             0.00406
                  14,             0.02798,            0.012095,                   0,             0.96548,             0.95516,             0.98913,             0.65555,            0.024716,           0.0090392,                   0,            0.003565,            0.003565,            0.003565
                  15,            0.026977,            0.011786,                   0,             0.96338,             0.96289,             0.98922,             0.69446,            0.022021,            0.008915,                   0,             0.00307,             0.00307,             0.00307
                  16,            0.026114,            0.011814,                   0,             0.96379,             0.96637,                0.99,             0.70361,            0.021313,           0.0087066,                   0,            0.002575,            0.002575,            0.002575
                  17,            0.025501,            0.011245,                   0,             0.96227,             0.96328,             0.98902,              0.6981,            0.022205,           0.0087405,                   0,             0.00208,             0.00208,             0.00208
                  18,             0.02474,            0.011756,                   0,             0.96842,             0.96173,             0.98993,             0.70335,            0.020981,           0.0085593,                   0,            0.001585,            0.001585,            0.001585
                  19,             0.02402,             0.01171,                   0,              0.9676,             0.96961,             0.99121,             0.71081,            0.020597,           0.0084129,                   0,             0.00109,             0.00109,             0.00109
